role,login_hour,ip_known,request_count,resource_zone,session_duration,failed_attempts,device_known,label
1,10,1,19,1,9,0,1,0
1,10,1,6,3,6,0,1,0
2,0,0,388,1,3,5,0,1
2,14,1,23,2,40,0,1,0
3,1,0,382,2,2,9,0,1
1,8,1,22,1,30,1,1,0
2,12,1,6,1,26,1,1,0
2,2,0,332,4,3,10,0,1
0,11,1,25,2,28,1,1,0
2,4,0,247,0,2,10,0,1
2,9,1,3,3,11,1,1,0
1,18,1,3,0,53,0,1,0
0,23,0,371,1,3,6,0,1
5,9,1,13,0,59,1,1,0
2,9,1,13,0,25,0,1,0
3,10,1,23,2,6,0,1,0
5,2,0,378,4,3,3,0,1
5,12,1,25,4,36,0,1,0
4,3,0,373,4,3,9,0,1
4,9,1,14,4,41,1,1,0
2,4,0,387,0,2,6,0,1
1,19,1,8,4,29,0,1,0
1,11,1,5,1,9,1,1,0
4,14,1,21,3,10,1,1,0
1,4,0,428,0,3,3,0,1
0,8,1,3,1,19,0,1,0
3,11,1,20,4,52,0,1,0
3,17,1,3,1,25,0,1,0
0,18,1,8,2,10,0,1,0
0,14,1,17,2,20,1,1,0
3,3,0,204,2,3,5,0,1
5,10,1,10,4,5,1,1,0
3,14,1,24,0,25,1,1,0
0,4,0,470,1,1,7,0,1
1,9,1,15,1,50,1,1,0
1,23,0,255,1,2,5,0,1
2,2,0,246,0,1,6,0,1
2,20,1,18,3,44,0,1,0
2,20,1,2,2,27,1,1,0
1,10,1,13,4,50,0,1,0
1,17,1,14,1,47,0,1,0
3,4,0,224,1,2,4,0,1
2,12,1,9,1,12,0,1,0
5,23,0,318,4,2,3,0,1
4,13,1,20,3,45,1,1,0
5,16,1,11,0,12,1,1,0
2,4,0,245,0,2,6,0,1
1,0,0,325,2,2,5,0,1
0,0,0,473,1,2,7,0,1
2,11,1,2,1,41,0,1,0
4,9,1,24,0,35,1,1,0
4,4,0,186,3,1,5,0,1
4,3,0,446,4,2,9,0,1
5,17,1,12,4,17,0,1,0
0,1,0,436,2,1,3,0,1
5,18,1,21,0,54,1,1,0
1,14,1,23,1,50,0,1,0
5,1,0,101,0,2,10,0,1
0,23,0,130,1,2,9,0,1
0,18,1,8,2,55,0,1,0
4,16,1,18,2,47,0,1,0
1,10,1,18,4,38,1,1,0
1,11,1,15,2,24,0,1,0
3,0,0,324,3,2,4,0,1
3,10,1,2,2,28,0,1,0
0,4,0,176,1,1,7,0,1
1,4,0,342,1,1,7,0,1
3,23,0,379,2,3,7,0,1
2,17,1,14,4,30,1,1,0
3,13,1,6,3,18,1,1,0
2,9,1,25,2,27,1,1,0
3,15,1,3,4,45,0,1,0
0,19,1,14,0,32,0,1,0
1,18,1,7,4,21,0,1,0
4,8,1,4,0,49,0,1,0
3,13,1,22,3,60,0,1,0
0,9,1,24,4,14,1,1,0
1,12,1,2,1,52,1,1,0
5,9,1,21,0,24,1,1,0
3,17,1,7,2,7,1,1,0
2,18,1,18,3,25,1,1,0
4,17,1,14,1,39,0,1,0
0,18,1,11,4,25,0,1,0
0,11,1,4,3,12,0,1,0
5,9,1,1,2,20,0,1,0
0,14,1,9,3,45,1,1,0
2,1,0,289,2,2,3,0,1
5,14,1,20,0,29,1,1,0
0,12,1,13,3,38,1,1,0
3,15,1,15,1,37,1,1,0
2,12,1,7,3,55,1,1,0
2,17,1,20,0,44,0,1,0
2,13,1,24,1,20,0,1,0
0,12,1,8,3,49,0,1,0
1,1,0,267,4,3,8,0,1
4,17,1,22,3,26,0,1,0
5,0,0,427,2,2,6,0,1
3,18,1,15,1,21,0,1,0
5,17,1,21,4,25,1,1,0
1,1,0,335,2,1,7,0,1
2,18,1,23,4,19,1,1,0
0,18,1,16,2,40,0,1,0
5,15,1,7,4,13,1,1,0
5,1,0,452,0,3,8,0,1
1,8,1,9,3,12,0,1,0
0,18,1,18,0,10,0,1,0
1,8,1,2,1,35,0,1,0
2,1,0,248,0,2,4,0,1
0,12,1,24,2,58,1,1,0
3,15,1,8,3,26,1,1,0
3,1,0,307,1,1,9,0,1
4,4,0,372,3,3,7,0,1
4,1,0,486,0,1,7,0,1
1,19,1,23,1,55,1,1,0
4,18,1,23,2,6,0,1,0
3,20,1,10,3,37,1,1,0
2,2,0,408,1,2,8,0,1
2,1,0,335,4,2,8,0,1
0,11,1,14,4,34,0,1,0
5,8,1,2,3,59,1,1,0
2,0,0,463,0,1,8,0,1
5,23,0,488,0,1,9,0,1
4,2,0,419,4,1,5,0,1
4,8,1,12,4,40,0,1,0
3,2,0,123,3,1,6,0,1
4,13,1,3,4,39,0,1,0
1,9,1,1,1,36,1,1,0
3,20,1,18,1,44,0,1,0
1,11,1,6,4,9,0,1,0
0,9,1,3,0,32,0,1,0
5,17,1,4,4,55,0,1,0
0,3,0,168,2,3,8,0,1
3,9,1,8,3,41,1,1,0
5,16,1,15,3,8,0,1,0
2,19,1,14,1,17,0,1,0
3,23,0,204,3,3,10,0,1
0,0,0,145,2,3,4,0,1
5,23,0,478,3,2,5,0,1
0,17,1,12,1,10,1,1,0
0,16,1,25,4,58,0,1,0
4,23,0,393,0,2,8,0,1
1,19,1,18,4,21,1,1,0
5,1,0,492,4,2,3,0,1
2,11,1,22,2,20,1,1,0
3,8,1,20,4,25,0,1,0
4,0,0,223,1,1,4,0,1
4,0,0,386,3,3,7,0,1
